,street,latitude,longitude,plz
0,Altkircherstrasse 22,47.5535082,7.569879500000001,4054
1,Landskronstrasse 28,47.5688515,7.5775108,4056
2,"Breisacherstrasse 61, 63",47.5668322,7.5887022,4057
3,"St. Alban-Vorstadt 38, 40, 42",47.5543916,7.5971832,4052
4,Klybeckstrasse 1,47.56452909999999,7.591295199999998,4058
5,"Alemannengasse 57, 59, 61, 63, 65",47.5580356,7.6026016,4058
6,Alemannengasse,47.5577399,7.6023357,4058
7,Alemannengasse 65A,47.557918,7.603119400000001,4058
8,Rütlistrasse 45,47.55461469999999,7.577441599999999,4051
9,"Grellingerstrasse 16, 18",47.5510953,7.606897799999999,4052
11,Beim Letziturm 16,47.5541648,7.605087399999999,4052
13,Allschwilerstrasse 13A,47.5552931,7.5741486,4054
14,Rudolfstrasse 10,47.5553647,7.574794299999999,4054
15,Allschwilerstrasse,47.55705680000001,7.570882699999999,
16,"Güterstrasse 76, 78",47.5461788,7.5846193,4053
17,Erstfeldstrasse 71,47.5477388,7.5607352,4054
18,Gartenstrasse 64,47.5497623,7.5953495,4052
19,Unterer Rheinweg 116,47.5676261,7.5868042,4057
20,Waldenburgerstrasse 8,47.5553197,7.6087047,4052
21,Klingental 8,47.5624107,7.591116099999999,4058
22,Centralbahnplatz 8,47.5482232,7.5894735,4051
23,Vogesenstrasse 80,47.5675032,7.5770233,4056
24,Schützenmattstrasse 49,47.5548365,7.579966499999998,4051
25,Emanuel Büchel-Strasse 10,47.5501414,7.613364300000001,4052
26,Dorfstrasse 33,47.5835593,7.5926099,4057
27,Schulgasse 8,47.58345689999999,7.5922339,4057
28,Güterstrasse 272,47.54146009999999,7.598708799999999,4053
29,Morgartenring 24,47.5559601,7.5648369,4054
30,Hasenmattstrasse 3,47.53349679999999,7.5918668,4059
31,Isteinerstrasse 70,47.56575489999999,7.5997999,4058
32,Drosselstrasse 21,47.5383934,7.5891536,4059
33,Näfelserstrasse 31,47.55802910000001,7.565731,4055
34,Allschwilerstrasse 110,47.5578009,7.565908599999999,4055
35,Mittlere Strasse 75,47.56228309999999,7.577119199999999,4056
36,Liesbergerstrasse 19,47.5413428,7.5963874,4053
37,"Gellertstrasse 45, 45",47.5511294,7.614284199999998,4052
38,Frobenstrasse 75,47.54333949999999,7.5849113,4053
39,Wanderstrasse 7,47.5526983,7.570276000000001,4054
40,Weilerweg 3,47.5850932,7.592648399999999,4057
41,Predigerhofstrasse,47.5229542,7.5893598,
42,"Greifengasse 36, 38",47.5613225,7.5929519,4058
44,Bläsiring 161,47.5689812,7.5959242,4057
46,"Am Krayenrain 3, 5, 7, 9",47.5656516,7.576074999999999,4056
47,"Gundeldingerrain 171, 173, 175, 177, 179",47.5331324,7.595659299999999,4059
49,Thannerstrasse 30,47.554554,7.574427099999999,4054
50,Holbeinstrasse 27,47.5537495,7.584465799999998,4051
51,Sissacherstrasse 33,47.5463527,7.608901899999999,4052
52,Bartenheimerstrasse 56,47.5589054,7.5690025,4055
53,Mittlere Strasse 112,47.5639701,7.575765100000001,4056
54,Starenstrasse 28,47.5389346,7.5878934,4059
55,"Bruderholzallee 172, 172A",47.5325502,7.5954357,4059
56,Lehenmattsrasse 189,47.5504312,7.621137399999999,4052
57,St. Johanns-Vorstadt 26,47.5633296,7.5847858,4056
58,Hegenheimerstrasse 197,47.563758,7.5639962,4055
59,Dachsfelderstrasse 21,47.5462243,7.582192900000001,4053
60,Schwarzwaldallee,47.5674126,7.606394300000001,
62,"Lehenmattstrasse 242, 244, 248, 248A",47.5481796,7.6200397,4052
63,Nadelberg 23,47.5578827,7.585669099999999,4051
64,Wettsteinallee 79,47.5613439,7.603568500000001,4058
65,Amerbachstrasse 16,47.569176,7.591419799999999,4057
66,Bedrettostrasse 11,47.5259913,7.5909182,4059
67,Bachlettenstrasse 7,47.5501497,7.580844099999999,4054
68,Hagenbachstrasse 12,47.5476603,7.600112299999998,4052
69,Sevogelstrasse 107,47.5482913,7.600152400000001,4052
70,Sennheimerstrasse 49,47.554039,7.5697214,4054
71,Birsstrasse 54,47.5525971,7.6190318,4052
72,Unterer Batterieweg 46,47.5399867,7.586393899999999,4053
73,Rheinweilerweg 21,47.572381,7.596029300000001,4057
74,Schützengraben 15,47.5557239,7.582413399999999,4051
75,In den Ziegelhöfen 158,47.54513069999999,7.5571071,4054
76,Hardstrasse 58,47.5500187,7.605087699999999,4052
77,Mariasteinstrasse 22,47.5486146,7.5708106,4054
79,Austrasse 77,47.5548114,7.578411999999998,4051
80,Dornacherstrasse 317,47.5394915,7.6018407,4053
81,Mattenstrasse 2,47.5641943,7.604002500000001,4058
82,Käferholzstrasse 50,47.5666564,7.6176441,4058
83,Güterstrasse 308,47.5406252,7.6014856,4053
84,Thiersteinerallee 62,47.5408923,7.596997099999999,4053
86,Karl Jaspers-Allee 4,47.5475822,7.6106726,4052
88,Schillerstrasse 31,47.5435641,7.596500199999999,4053
89,J. J. Balmer-Strasse 1,47.5406646,7.595254799999999,4053
90,"J. J. Balmer-Strasse 3, 5, 7, 9",47.5406275,7.5951127,4053
